Abdominal aortic aneurysm,"Treatment for an abdominal aortic aneurysm (AAA) depends on several factors, including the aneurysm's size, your age and general health.

In general, if you have a large aneurysm (5.5cm or larger) you will be advised to have surgery, either to strengthen the swollen section of the aorta or to replace it with a piece of synthetic tubing.
Anal cancer,The main treatments used for anal cancer are:                chemoradiation – a combination of chemotherapy and radiotherapy                                                     surgery – to remove a tumour or a larger section of bowel                                 ,bleeding from the bottom (rectal bleeding),itching and pain around the anus,small lumps around the anus,a discharge of mucus from the anus,loss of bowel control,,,,,,,,,,,,,,
Anaphylaxis,"If you think somebody is experiencing symptoms of anaphylaxis, you should use an adrenaline injector if one is available.",atopic eczema,asthma ,,,,,,,,,,,,,,,,,
Angioedema,"Medication is the main treatment for angioedema, although many cases get better after a few days without treatment.",swelling that develops below the skin's surface.,,,,,,,,,,,,,,,,,,
Ankylosing spondylitis,"There is no cure for ankylosing spondylitis (AS), but treatment is available to help relieve the symptoms.treatment will involve a combination of exercise, physiotherapy and medication,",Back pain and stiffness ,,,,,,,,,,,,,,,,,,
Anorexia nervosa,"Before your treatment begins, you will probably have an overall assessment of your health. This may be done by your GP or another healthcare professional, such as one that specialises in eating disorders.",losing a lot of weight ,eating as little as possible,making yourself vomit,doing too much exercise,,,,,,,,,,,,,,,
Appendicitis,"If you have appendicitis, your appendix usually needs to be removed as soon as possible. This operation is known as an appendectomy or appendicectomy.",pain in the middle of tummy (abdomen),pain in lower right-hand side of tummy,loss of appetite,a high temperature (fever) and a flushed face,,,,,,,,,,,,,,,
arthritis,if you are suffering from joint pains it may be arthritis that affects the muscle and skelton,pain in  muscles,swelling,reduced range of motion,reduced range of stiffness,,,,,,,,,,,,,,,
asbestosis,there is no cure for asbestosis once it is developed  because it is not possible to reverse  damage to the lungs,shortness of breath,a cough and wheezing,fatigue and chest pain,,,,,,,,,,,,,,,,
asthma,"while there is no cure for asthma  there are number of treatments that can help control the condition most of the people usually taken using an inhaler,use of medicines","cough can occur at night ,during exercise",difficulty in breathing,chest pressure,early awakening,,fast heart rate,,throat irritation,,,,,,,,,,,
atopic eczema,"there is currently no cure for atopic eczema but treatment can help relieve the symptoms and many cases improve over time but manydifferent treatments can be used to control symptoms including self care techniques such as reducing scratches and avoiding triggers ,emolients",itching,,,,,,,,,,,,,,,,,,
attention deficit hyperactivity disorder,"the disease can be treated  using medication or therapy,but a combination of both is best.treatment is usually arrranged by a specialist such as paediatrician ",limited attention,hyperactivity,,,,,,,,,,,,,,,,,
autistic spectrum disorder,early recognition as well a behavioural and family therapies may reduce symptoms and support development and learning,inapppropriate social interaction,poor eye contact,selfharm,impulsivity,,unawaere of others emotions,,,,,,,,,,,,,
bacterial vaginosis,bv can be treated using a short course of antibiotic tabets or an antibiotic gel you apply inside your vagina,abnormal vaginal discharge,itching ,vaginal burning,,,,,,,,,,,,,,,,
benign prostate enlargement,"treatment for an enlarged prostate is determined by severity of symptoms if you have mild to moderate symptoms, you wont receive any immediate medical treatment,but you will have regular checkups to carefully monitor your prostate",frequent or urgent need to urinate,increased frequency of urination at night,,difficulty starting urination,,,,,,,,,,,,,,,
bile duct cancer,"treatment include surgery,chemotherapy and radiation",jaundice,unintentional weight loss,abdominal pain,,,,,,,,,,,,,,,,
binge eating,main treatments are  selfhelp programmes and guided self help,eating large amounts of food,frequent dieting without weight loss,depression,grief,shame,disgust,,,,,,,,,,,,,
bipolar disorder,treatment usually lifelong and often involves a combinations of medicines and psychotherapy ,"mood swings,sadness","irritability,risk-taking behaviours",unwanted thoughts,depression,,excess sleepiness,,weight gain or weight loss,,,,,,,,,,,
bladdercancer,"treatments including surgery,biological therapy and chemotherapy",blood in urine,dark urine,frequent urination,,,,,,,,,,,,,,,,
blood cancer,"treatment is highly variable.for slow growing leukaemias treatment may include monitoring for aggressive leukaemias,treatment includes chemotherapy that’s sometimes followed by radiation and stem cell  transplant",pain in bones or joints,"dizziness,fever,loss of apetite","bleeding,mouth ulcer,shortness of breath",,,,,,,,,,,,,,,,
blood poisoning,treatment includes antibiotics and intravenous fluids,"low b.p,chillis,dizziness",fastbreathing,mental confusion,fast heart rate,,skin discolouration,,,sleepiness,,,,,,,,,,
bone cancer,treatment includes surgery and radiation.some non-cancerous tumours go  away without treatment,pain in bones or joints,bone fracture,feeling tired,weight loss,,swelling,,,,,,,,,,,,,
bowel cancer,"colorectal cancer treatment depends on size,location and how far the cancer has spread.common treatments include surgery to remove the cancer,chemotherapy and radiation therapy",abdomenal pain,blood in stool,anaemia,abdomenal discomfort,,,weight loss,,,,,,,,,,,,
bowel incontinence,"treatments for bowel incontinence aim to help restore bowel control or reduce its severity  options include medications ,dietary changes,bowel training,stool impaction therapy.if these do not work surgery may be recomended",stool may be liquid an d solid ,abdominal pain or cramping,bloating,constipation or diarrhe,,,anus is irritated or itchy,,,,,,,,,,,,
bowel polyps,during a colonoscopy your doctor uses forcepsor a wireloop to remove polyps if you have genetic condition your doctor may recommend surgery to remove part or all of your colon and rectum,blood in your poop,diarrhea,belly pain,fatigue,,,shortness of breath,,,,,,,,,,,,
brain stem death,basically ther is no treatment for this confirming death used to be straight forward,no response,no blood flow,,,,,,,,,,,,,,,,,
brain tumours,"treatment include surgery,chemotherapy and radiation",headache,difficulty working,nausea (feeling sick) or vomiting,,,inability to speak,,,,,,,,,,,,,
breast cancer,"treatment depends on the stage of cancer.it may consist of chemotherapy,radiation,hormone therapy and surgery",inverted nipple,nipple discharge,swollen lymph nodes,redness,,,,,,,,,,,,,,,
bronchiectasis,"tratment may include physiotherapy and medication ,such as antibiotics and drugs to help loosen mucus",pain areas in the chest,cough can be chronic,shortness of breath,fatigue,recurrent infection,,weight loss,,,,,,,,,,,,
bronchitis,"treatments including soothing remedies to help with coughing,which may last weeks .antibiotics are not usually recommended",cough can be chronic ,fatigue,runny nose,chest pressure,,headache,,shortnesss of breath,,,sleeping difficulty,,sore throat,,,,,,
bulimia,"treatment includes councelling ,medication and nutrition education",binge eating,dehydration,fatigue,anxiety,heart burn,,,,,,,,,,,,,,
bunion,"treatment includes changing shoes,pading foot and pain medication.painful bunions can be removed surgically",pain areas in joints,stiffness or swelling,redness or tendernesss,,,,,,,,,,,,,,,,
bursitis,"treatment includes rest,ice and painreleivers and surgery is rarely required","pain areas in arm,elbow",stiffness or swelling,redness or stiffness,,,,,,,,,,,,,,,,
carcinoid syndrome,the type of treatment your doctor suggests depends on many factors.these includes your symptoms and location and size of tumour . Surgery may be needed sometimes,facial flushing,diarrhea,a fast heartbeat,wheezing,,a sudden drop in blood pressure,,,,,,,,,,,,,
catarrh,catarrh will often pass in a few days or weeks as the condition that causes it improves,runny nose,cough ,headache,reduced sense of smell and taste,,,,,,,,,,,,,,,
cellulitis,without treatment with an antibiotic it may be life threatening,pain at skin area,warmness of skin,fever,pus,,,,,,,,,,,,,,,
cervical cancer,"treatment include surgery,chemotherapy and radiation",pain areas in pelvis,abnormal mensturation,abnormal vaginal bleeding,,nausea,weight loss,,,,,,,,,,,,,
chest infection,"treatment will depend on what cause your chest infection if virus caused it ,it may cleared within weeks antibiotics wont help it",cough,breathlessness,wheezing,fever,rapid heartbeat,,,chest pain,,,,,,,,,,,
chest pain,treatment wil depend on what cause your chest pain,shortness of breath,cold sweats,dizziness,nausea,,,,,,,,,,,,,,,
chicken pox,there is no specific treatementfor chicken pox but there are some pharmacy remedies,blister in skin,fever,lost of apetite,,,,,,,,,,,,,,,,
chilblains,"skin usually clears up on it's ownwithin one to three weeks,although it may recur for years.medication can heand so can dressing appropriately for cold weather",rashes on skin,itching on skin,,,,,,,,,,,,,,,,,
chronic fatigue syndrome,there is no cure or approved tratement for this condition however some symptoms can be treated,pain in joints,fatigue,conusion,excess sleepiness,,,depressio n,,headache,,,,,,,,,,
chronic kidney disease,"medication helps manage symptoms.in later stages,filtering blood with a machine or a transplant may be required",fatigue,high b.p,kidney damage,abnormal heart rhythm,,,,,,,,,,,,,,,
chronic lymphocytic leukaemia,treatment is not initially necessary but include chemotherapy.stem cell transplant required in some cases,swollen lymph,,,,,,,,,,,,,,,,,,
chronic myleloid leukaemia,"treatment include targeted drugs,stemcell transplant,chemotherapy and biological therapy",fatigue,anaemia,"bleeding,bruising",,,,,,,,,,,,,,,,
chronic obstructive pulmonary disease,rescue inhalers and inhaled or oral steroids can help control symptoms and minimise furthur damage,cough can be dry,frequent respiratory infections,chest pressure,loss of muscle,,weight loss,,,,,,,,,,,,,
chronic pancreatitis,treatment for chronic pancreatitis focuses on reducing pain and improve your digestive function but with proper care you should be able to manage many of your symptoms,pain in upper abdomen,diarrhea,fatty stools,nausea and vomiting,,,shortness of breath,,,excessive thirst,,,,,,,,,
cirrhosis,treatment focus on underlying cause.in advanced cases liver transplant is required,abdomenal pain,gastrointestinal bleeding,dark stool from digested blood,,loss of apetite,,weight gain or weight loss,,,,,,,,,,,,
clostridium dificile,"treatment inlcude antibiotics .even when we treated with antibiotics ,the infection may come back.in rare cases  faecal transplant or surgery may be needed",abdomenal pain,diarrhea,fever,stomach pain,,,,,,,,,,,,,,,
coeliac disease,the main stay of treatement is a strict gluten free dietthat can help manage symptoms and promote intestinal healing,abdomenal pain,burning in chest,diarrhoea,fatigue,cramping,,itching,,,,,,,,,,,,
cold sore,medication can speed up healing  and reduce recurrence,sore lip,rashes,burning sensation,,,,,,,,,,,,,,,,
comma,there is no specific treatment for this,closed eyes,no response of limbs,irregular breathing,,,,,,,,,,,,,,,,
common cold,most people recoveron their own within 2 weeks .over the counter products and home reedies can help control symptoms,muscle pain,cough,runny nose,watery eyes,,chest pressure,,headache,,,,,,,,,,,
common heart disease,"you will need to change your lifstyle to help control coronary disease and so reduce the risk of heart attack,you may need medicines",chest pain,shortness of breath,nausea (feeling sick) or vomiting,,,,,,,,,,,,,,,,
congenital heart disease,"treatment include medicines ,catheter procedures,surgery and heart transplants.treatment depend on the  type of defect,how severe it is,and a chid's age ,size and general",bluish lips,breathlessness,feeding difficulties,low birth weight,,chest pain,,delayed growth,,,,,,,,,,,
conjuctivities,"it's important to stop wearindg contact lens whilst affected by conjuctivities.it often resolves on it's own,but treatment can speed the recovery process.allergic conjuctivities can be treated with antihistamines.bacterial con juctivities can be treated with antibiotic eye drops",eye pain,redness,runny nose,sensitivity to light,,,,,,,,,,,,,,,
consitipation,"treatment may includes food high infibres,non stimulant laxatives,stimulant laxativesenemas,suppositories,medicines and surgery ",lower abdomenal discomfort,hard or small stools,rectal bleeding,physiological distress,,,,,,,,,,,,,,,
costochondritis,"treatment include injections to relieve pain ,medication and therapy",chest pain,tenderness,,,,,,,,,,,,,,,,,
cough,treatment need not necessary some medications are enough to reduce cough,cough,throat pain,,,,,,,,,,,,,,,,,
crohn's disease,crohn's disease cant be cured.medications such as steroids used to slow the progression of disease .if these are not effective a person may need surgerycrohn's disease may need o receive regular screening for colrectal cancer due to u]increased risk,abdomenal pain,fever,diarhoea,cramping,,weight loss,,,,,,,,,,,,,
croup,most cases home treatment clesr within 4 to5 days.in severe case it may need hospital service,cough,difficulty breathing,fever,runny nose,,,,,,,,,,,,,,,
cystic fibrocis,treatment may ease symptoms and reduce complications,abdomenal pain,cough,diarrhoea,shortness of breath,,,deformity nails,,,,,,,,,,,,
cystitis,common treatment is with antibiotics,bladder pain,fever,foul smelling urine,frequent urinations,,,,,,,,,,,,,,,
deaf blindness,deaf blindness may be treatable with medicines and surgery,difficulty following conversation,not hearing noises,,,,,,,,,,,,,,,,,
deep vein thrombosis,treatment includes mediaction and use of compression stockings,leg pain,swelling in extremities,,,,,,,,,,,,,,,,,
dehydration,fluid replacement is treatment for dehydration,watery stool,stomach cramps,,,,,,,,,,,,,,,,,
dementia with lewy bodies,there is no cure for this .but some medications may reduce some of symptoms,stiff limbs,sleep disturbances,fainting,,,,,,,,,,,,,,,,
dental abscess,the abscess must be drained .a root canal or antibiotics may be required.sometimes teeth need to be pulled,jaw pain,toothache,pus,fever,swollen lymph nodes,,,,,,,,,,,,,,
depression,"the mainstay of treatment is usually a medication ,talk therapy or a combination of both",anxiety,early awakening,fatigue,agitation,lack of concentration,,,,,,,,,,,,,,
dermatitis herpetiformis,antibiotics and gluten free diet are treatments,skin rashes,itching,,,,,,,,,,,,,,,,,
diabetes,"treatment typically includes food diet ,medication and exercise",thirst,urination,weight loss,fatigue,blurred vision,,,,,,,,,,,,,,
diabetic retinopathy,mild cases may be treated with medications .advanced cases may require laser treatment or surgery,vision disorder,,,,,,,,,,,,,,,,,,
diarrhoea,treatment may include medication,watery stool,vomitions,,,,,,,,,,,,,,,,,
discoid eczema,treatment may include lotions and bandages.antihistamines can hep withitching.it also helps to avoid irritants,rashes on skin,itching,darkening of skin,,,,,,,,,,,,,,,,
diverticular disease,treatment is not required untill there is inflammation,abdomenal pain,,,,,,,,,,,,,,,,,,
dizziness,it requires anti-nausea medications,faintness,weakness,confusion,headache,,chest pain,,nausea,,,,,,,,,,,
down' syndrome,early intervention programmes with a team of therapists and special educators who can treat each child's specific situation are helpful in managing down's syndrome,lazy eye or spots,difficulty thinking,,,,,,,,,,,,,,,,,
dry mouth,medication is required to stimulate saliva production,dry feeling in mouth,sores in mouth,dry feeling in throat,,,,,,,,,,,,,,,,
dysphagia,treatment usually depends on cause and type of dysphagia,coughing,bringing food back up,persistant drooling of saliva,,,,,,,,,,,,,,,,
dystonia,ther is no cure for dystonia.but the condition can usually be effectively managed,muscle cramps,eyelid twitching,,,,,,,,,,,,,,,,,
ear ache,treatment may involve some medications prescribed by doctor,ear pain,,,,,,,,,,,,,,,,,,
ear wax build up,your doctor can also flush out of the wax using a water pick or rubber bulb syringe filled with warm water,partial hearing loss,fealing of fullness in ear,,,,,,,,,,,,,,,,,
ebola virus disease,treatment is supportive health care,abdomenal pain,dehydration,diarrhoea,eye redness,,head ache,,,,,,,,,,,,,
ectopic pregnancy,to prevent complications treatment is required in early stages.medication may be sufficient.later stages require surgery,pain in pelvis,abdomenal pain,nausea (feeling sick) or vomiting,,abnormal vaginal bleeding,,,,,,,,,,,,,,
endo metriosis,"effective treatment ,such as hormones and excessive surgery are available",abdomenal pain,abdomenal menstruation,abdomenal fullness,,infertility,nausea,,,,,,,,,,,,,
epilepsy,"epilepsy is treated by medication in some cases by surgery,devices or dietary changes",fainting,muscle spasms,anxiety depression,,,,,,,,,,,,,,,,
erectile dysfunction,"patients suffering from erectiledysfunction should first be evaluated by physical and physiological conditions.if treatment of underlying conditions does'nt help,medication and assitive devices like pumps can be prescribed",sexual dysfunction,soft erections,,,,,,,,,,,,,,,,,
escherichia choli,no current treatments can cure infection ,dehydration,fatigue,,,,,,,,,,,,,,,,,
ewing sarcoma,treatment include chemotherapy surgery and radiation,back pains,swelling,,,,,,,,,,,,,,,,,
eye cancer,treatment includes radiation therapy,dark patch in your eye,partial or total loss of vision,bulging of one eye,pain in or around the eye,,,,,,,,,,,,,,,
febrile seizures,majority of children do not require any specific medication for febrile seizures,breathing difficulty,contraction of muscles of the face,fever,illness,,,,,,,,,,,,,,,
fever in children,treatment may include specific medication,fever,,,,,,,,,,,,,,,,,,
fibroids,treatment include specific medication and removal of fibroids,abdomenl pain,abnormal mensturation,cramping,,,,,,,,,,,,,,,,
fibromylagia,"mediaction ,talk therapy and stress reduction may help in controlling symptoms",muscle pain,severe pain,nausea (feeling sick) or vomiting,,fatigue,muscle tenderness,,,anxiety,sleep disturbances,,,,,,,,,
flatulence,some specific medications may be required,indigestion,,,,,,,,,,,,,,,,,,
flu,flu is primarily treated with rest and fluid intake to allow the body to fight the infection on it's own .paracetmol may cure the symptoms but NSAIDs should be avoided.an annual vaccine can help prevent flu and limit it's compications,muscle pain,dehydration,fatigue,runny nose,,chest pressure,,,,,,,,,,,,,
foetal alcohol syndrome,the syndrome is irreversible.treatment especially if early can reduce some symptoms,failure to thrive,aggression,congenital heart disease,hearing loss,,,,,,,,,,,,,,,
food poisoning,most food poisonin is mild and resolves without treatment.ensuring adequate hydrationis the most important aspect of treatment,abdomen or rectum pain,chills,dehydration,bloating,diarrhoea,,stomach cramps,,,,,,,,,,,,
fungal nai infection,treatment include medication,scaling under the nail,white or yellow streaks on thenail,a crumbling tip of nail,,,,,,,,,,,,,,,,
gall bladder cancer,"treatments include surgery,chemotherapy and radiation",abdomen pain,bloating,fever,loss of apetite,,itching,,,,,,,,,,,,,
galistones,people who experiencesymptoms usully require gallbladder removal surgery .galistones that don’t cause symptoms usually don’t need treatment,back pain,indigestion,cramping from gallstones,,,,,,,,,,,,,,,,
ganglion cyst,a ganglion cyst often clear on it's own.if trouble some .it can be drained or removed,wrist pain,,,,,,,,,,,,,,,,,,
gastro enterities,avoid contaminated food and water and washing hands can often help prevent infecton rest and rehydration are main stays of treatment,abdomenal pain,vomiting,low grade fever,diarrhoea,,indigestion,,nausea,,,,,,,,,,,
gastro -oesophageal reflux disease,relief from lifestyle changes and over the counter medication is usually temporary.strong medication may be required,pain in chest,dry cough,nausea (feeling sick) or vomiting,,heart burn,,,,,,,,,,,,,,
genital herpes,some medication may be required,fever ,body ache,swollen lymph nodes,,,,,,,,,,,,,,,,
genital warts,vaccines can protect against many genital wart causing strains of HPV .genital warts can be teated with prescription medication applied directly  to the warts or can be surgically removed,warts,itchiness around anus,,,,,,,,,,,,,,,,,
germ cell tumours,chemotherapy followed by surgery remove many of the tumours,chest pain,breathing problem,cough,fever,,,,,,,,,,,,,,,
glandular fever,"treatment involves rest ,fluids and over the counter pain and fever reducing medicines to ease symptoms",fever,body ache,sorethroat,nausea,head ache,,,,,,,,,,,,,,
gout,"during an accute attack,anti inflammatory medicine can help to relieve pain and shorten the duration of attack.patients with chronic gout can use behavioural modification such as diet,exercise and decreased intake of alcohol to help minimis the frequency of attacks.aditionally patients with chronic gout are often put on medication to reduce uric acid levels",joint pain,swelling,physical deformity or redness,,,,,,,,,,,,,,,,
gum disease,treatment includes professionally cleaning the pockets around teeth to prevent damage to surrounding bone .advanced cases may require surgery,bad breath,toothache,swelling or bleeding,tender gums,,receding gums,,,,,,,,,,,,,
haemorrhoids,"a high-fibre diet can be effective ,along with stool softners .in some cases a medical procedure to remove the haemorrhoid may be needed to provide relief",rectum pain,pain can occur while sitting,anal discomfort,blood in stool,,,,,,,,,,,,,,,
hair cell leukaemia,"treatment includes chemotherapy ,radiation therapy",feeling tired,weakness,shortness of breath,swollen lymph nodes,,,,,,,,,,,,,,,
hay fever,antihistamine medication can reduce symptoms,ear pain,nasal congestion,puffy eyes,breathing through mouth,,,,,,,,,,,,,,,
head and neck cancer,"treatment includes chemo therapy,surgery",ear pain,enlarged neck lymph nodes,,,,,,,,,,,,,,,,,
head lice and nits,some medication is required,itching over head,,,,,,,,,,,,,,,,,,
head aches,if it is not severe some medication is required and some rest is needed,pain in head,,,,,,,,,,,,,,,,,,
hearing loss,"for some,hearing may be possible with surgery or a hearing device.lip reading skills,written or printed textand sign language may help with communication",hearing problem,ringing in ears,,,,,,,,,,,,,,,,,
heart failure,"treatments can include eating less salt,limiting fluid intake and taking prescription medicine.in some cases a defibrillator or pacemaker may be implanted",chest pain,cough can be dry,dizzoness,fast breathing,,excess urination at night,,,,,,,,,,,,,
hepatities,treatment depends on type of hepatities .viral hepatitiesmay be treated with antiviral medication,yellow skin or eyes,nausea,abdominal pain,fatigue,fever,,,,,,,,,,,,,,
hiatus hernia,some are treated with drugs and few types needed a surgical repair,abdominal pain,throat pain,heart burn,,,,,,,,,,,,,,,,
high colestrol,"treatment includes medication ,healthy diet and exercise",heart attack,peripheral artery disease,,,,,,,,,,,,,,,,,
hiv,no cure for hiv,abdomenal pain,pain can occur while swallowing,cough can be dry,mouth ulcers,,nausea,watery diarrhoea,,soreness,,headache,,,,,,,,
hodgkin lymphoma,treatment include chemotherapy stem cell transplant and radiation,fever,itching,night sweats,,weight loss,,,,,,,,,,,,,,
huntington's disease,"no treatment exist.but drug ,talk therapy can help manage some symptoms",annesia,lack of concentration,abnormality walking,,compulsive behaviour,,,,,,,,,,,,,,
hyper glycaemia (low b.p),treatment includes some diet and medication,fatigue,dizziness,nausea (feeling sick) or vomiting,,depression,,,,,,,,,,,,,,
hyper hidrosis,someinjections are required,clammy ,frequent sweating,,,,,,,,,,,,,,,,,
hyper glycaemia (high b.p),"eating a healthier diet with less salt,exercising regularly and taking medication can help low b.p",no specific symptoms mainly weakness,,,,,,,,,,,,,,,,,,
idiopathic pulmonary fibrosis,there is currently no cure for IPF but there  are several treatments can help relieve the symptoms and slow down it's progression,a shortness of breath,dry cough,tiredness,loss of apetite,,clubbed fingers,,,,,,,,,,,,,
impetigo,antibiotics shorten the infection and can help prevent  spread to others,red rashes,itching,,,,,,,,,,,,,,,,,
indigestion,most people are able to treat indigestion with simple changes to their diet and lifestyle or with number of medications such as antacids,feeling full,feeling sick,belching,,,,,,,,,,,,,,,,
